actualTime;quantity
9.45488;1375
9.46195;1376
9.46272;1377
9.47196;1378
9.47703;1379
9.47768;1380
9.47795;1381
9.48051;1382
9.48345;1383
9.48591;1384
9.48608;1385
9.48679;1386
9.48996;1387
9.49062;1388
9.49828;1389
9.49906;1390
9.49967;1391
9.50029;1392
9.50466;1393
9.51072;1394
9.51628;1395
9.51763;1396
9.51983;1397
9.52549;1398
9.52666;1399
9.5434;1400
9.5453;1401
9.54798;1402
9.54828;1403
9.55047;1404
9.55196;1405
9.55219;1406
9.5672;1407
9.57228;1408
9.57611;1409
9.57744;1410
9.57882;1411
9.57971;1412
9.58642;1413
9.60294;1414
9.6052;1415
9.60947;1416
9.61008;1417
9.61473;1418
9.6149;1419
9.61949;1420
9.62043;1421
9.62183;1422
9.62509;1423
9.62883;1424
9.62945;1425
9.63138;1426
9.63497;1427
9.64108;1428
9.643;1429
9.64403;1430
9.65502;1431
9.65545;1432
9.65676;1433
9.65692;1434
9.65964;1435
9.66214;1436
9.66641;1437
9.66955;1438
9.67011;1439
9.67219;1440
9.67261;1441
9.67747;1442
9.67797;1443
9.68192;1444
9.68662;1445
9.68869;1446
9.68888;1447
9.69877;1448
9.69974;1449
9.70052;1450
9.70072;1451
9.70092;1452
9.70356;1453
9.70568;1454
9.70649;1455
9.70995;1456
9.71015;1457
9.71395;1458
9.71689;1459
9.71783;1460
9.72083;1461
9.73065;1462
9.73217;1463
9.73606;1464
9.73733;1465
9.74326;1466
9.74345;1467
9.74769;1468
9.75347;1469
9.77242;1470
9.78027;1471
9.78216;1472
9.78293;1473
9.78461;1474
9.78598;1475
9.79237;1476
9.79304;1477
9.79517;1478
9.80315;1479
9.80529;1480
9.80937;1481
9.80988;1482
9.8122;1483
9.81477;1484
9.81496;1485
9.8181;1486
9.8187;1487
9.82217;1488
9.82362;1489
9.82465;1490
9.82597;1491
9.83251;1492
9.83467;1493
9.83644;1494
9.83864;1495
9.83888;1496
9.84113;1497
9.84208;1498
9.84699;1499
9.85145;1500
9.85612;1501
9.85826;1502
9.85851;1503
9.86045;1504
9.86061;1505
9.86721;1506
9.8674;1507
9.8761;1508
9.87902;1509
9.88183;1510
9.88428;1511
9.88602;1512
9.88827;1513
9.88905;1514
9.89214;1515
9.89489;1516
9.896;1517
9.89646;1518
9.89902;1519
9.90559;1520
9.90611;1521
9.90744;1522
9.90889;1523
9.91176;1524
9.91568;1525
9.91588;1526
9.91607;1527
9.91762;1528
9.91857;1529
9.91918;1530
9.92033;1531
9.92118;1532
9.9215;1533
9.92167;1534
9.9221;1535
9.92985;1536
9.93096;1537
9.93208;1538
9.93808;1539
9.93831;1540
9.94368;1541
9.94414;1542
9.95045;1543
9.95181;1544
9.95473;1545
9.95561;1546
9.96426;1547
9.96494;1548
9.96635;1549
9.97772;1550
9.97915;1551
9.97957;1552
9.97986;1553
9.98074;1554
9.9835;1555
9.98482;1556
9.98768;1557
9.98813;1558
9.99678;1559
9.9997;1560
10.0027;1561
10.0076;1562
10.0077;1563
10.0094;1564
10.0115;1565
10.0146;1566
10.0204;1567
10.0241;1568
10.0288;1569
